Input_SNR_dB,Method,SNR_in_dB,SNR_out_dB,SNR_improvement_dB,MSE,PSNR_dB,PRD_percent,SSIM,Sparsity_ratio_percent
5,db4 + universal + soft,4.959561737457495,9.235820301940509,4.276258564483014,0.003455199241250131,26.766423975572152,34.53098643760865,0.6506709749457661,97.39934983745937
5,sym5 + universal + soft,4.959561737457495,9.496819521308588,4.537257783851093,0.003253667533323497,27.027423194940255,33.50881146184938,0.6498209964046685,97.62855716425362
5,EMD + DWT (Lahmiri-like),4.959561737457495,10.775255210242523,5.8156934727850285,0.002423983196191232,28.30585888387432,28.922593884076637,0.5357250732499568,74.44361090272568
5,Custom + universal (N1),4.959561737457495,0.0081602754583392,-4.951401461999156,0.02892271767636887,17.538763949089677,99.90609547478532,0.24639281255680764,100.0
5,db4 + CEEMDAN adaptive (N2),4.959561737457495,9.546027443314845,4.58646570585735,0.0032170097824744857,27.07663111694652,33.31951167481713,0.4514408472515586,57.764441110277566
5,FULL PROPOSED (N1+N2+N3),4.959561737457495,0.00826701664904644,-4.951294720808448,0.028922006820598662,17.538870690280387,99.90486773295245,0.2462775041350645,95.99824098504837
10,db4 + universal + soft,10.066037941498847,12.678338770743085,2.612300829244239,0.0015639441819650306,30.208942444375154,23.2318107638979,0.7750725014103774,96.29907476869218
10,sym5 + universal + soft,10.066037941498847,13.320072441313034,3.2540344998141872,0.0013491116163274791,30.850676114945227,21.57726413392122,0.7693208522053958,96.4553170244633
10,EMD + DWT (Lahmiri-like),10.066037941498847,11.874591311786569,1.8085533702877221,0.001881897627244469,29.40519498541851,25.48416653180386,0.7213834389348187,96.29907476869218
10,Custom + universal (N1),10.066037941498847,0.007435692893827118,-10.05860224860502,0.028927543582788394,17.538039366525165,99.91443005390036,0.2417707798426985,99.97801231310466
10,db4 + CEEMDAN adaptive (N2),10.066037941498847,11.709690389375547,1.6436524478767005,0.0019547268881736405,29.24029406300746,25.972603197201288,0.5605404290592513,30.20755188797199
10,FULL PROPOSED (N1+N2+N3),10.066037941498847,0.007523599233923829,-10.058514342264923,0.0289269580610158,17.538127272865264,99.91341886589429,0.24175049266506782,94.94283201407212
15,db4 + universal + soft,15.05363677841682,16.074111792819018,1.020475014402198,0.0007155565254509668,33.604715466452,15.714277218948066,0.8367146358855976,94.99874968742185
15,sym5 + universal + soft,15.05363677841682,16.403051972661295,1.3494151942444752,0.0006633609900645789,33.93365564629441,15.13029519817756,0.8413380506694673,94.95756365451822
15,EMD + DWT (Lahmiri-like),15.05363677841682,13.187155214099109,-1.866481564317711,0.0013910399549763141,30.71775888773127,21.909993024544157,0.6823709841766582,95.07376844211053
15,Custom + universal (N1),15.05363677841682,0.00723928185522124,-15.046397496561598,0.02892885186958369,17.53784295548656,99.91668941012946,0.24560400966820625,99.93403693931398
15,db4 + CEEMDAN adaptive (N2),15.05363677841682,17.971688970204596,2.918052191787776,0.0004622599083389487,35.50229264383851,12.6303548282809,0.8283498878952887,45.861465366341584
15,FULL PROPOSED (N1+N2+N3),15.05363677841682,0.007317399378486418,-15.046319379038334,0.028928331524511616,17.537921073009827,99.91579080221061,0.24560614449355783,95.99824098504837
20,db4 + universal + soft,19.984487772173466,19.073978586710894,-0.9105091854625726,0.00035863879543758986,36.60458226034555,11.125026923009841,0.8916464258823562,92.64816204051013
20,sym5 + universal + soft,19.984487772173466,19.36003997744623,-0.6244477947272351,0.00033577714189958046,36.89064365108112,10.764602591303314,0.8925061688510153,93.01048427358961
20,EMD + DWT (Lahmiri-like),19.984487772173466,12.496809620897187,-7.487678151276279,0.001630700347597421,30.02741329452922,23.722448853610093,0.6698925779217121,92.59814953738434
20,Custom + universal (N1),19.984487772173466,0.007334718219174887,-19.977153053954293,0.02892821616403918,17.537938391850513,99.91559157979239,0.24560935705248663,99.80211081794195
20,db4 + CEEMDAN adaptive (N2),19.984487772173466,22.812222817387347,2.827735045213881,0.0001516466581345891,40.3428264910266,7.234172479340942,0.9410362169918094,62.04051012753188
20,FULL PROPOSED (N1+N2+N3),19.984487772173466,0.007422941397476952,-19.97706483077599,0.028927628518246554,17.538026615028816,99.91457673541238,0.24559773511636385,95.99824098504837
